.model,date,.rep,patients,Specialty
combination,2024-02-01,40,2477.713522011708,Cardiology
combination,2024-03-01,40,2555.8816354091414,Cardiology
combination,2024-04-01,40,2614.797173484118,Cardiology
combination,2024-05-01,40,2583.5991943238323,Cardiology
combination,2024-06-01,40,2687.977784964445,Cardiology
combination,2024-07-01,40,2723.879780447346,Cardiology
combination,2024-08-01,40,2725.907347125695,Cardiology
combination,2023-09-01,41,2148.082783929422,Cardiology
combination,2023-10-01,41,2328.8191493592635,Cardiology
combination,2023-11-01,41,2290.654313618587,Cardiology
combination,2023-12-01,41,2315.5060960918577,Cardiology
combination,2024-01-01,41,2364.0941707294332,Cardiology
combination,2024-02-01,41,2414.1498172925544,Cardiology
combination,2024-03-01,41,2462.513911389524,Cardiology
combination,2024-04-01,41,2430.578201907766,Cardiology
combination,2024-05-01,41,2461.071138547586,Cardiology
combination,2024-06-01,41,2480.412552415367,Cardiology
combination,2024-07-01,41,2610.295708055435,Cardiology
combination,2024-08-01,41,2618.2896311612003,Cardiology
combination,2023-09-01,42,2266.1720953564836,Cardiology
combination,2023-10-01,42,2321.585910099673,Cardiology
combination,2023-11-01,42,2469.928526780948,Cardiology
combination,2023-12-01,42,2504.833074373091,Cardiology
combination,2024-01-01,42,2501.765772583988,Cardiology
combination,2024-02-01,42,2517.2199688942887,Cardiology
combination,2024-03-01,42,2530.803456663607,Cardiology
combination,2024-04-01,42,2669.481987135926,Cardiology
combination,2024-05-01,42,2689.712392420295,Cardiology
combination,2024-06-01,42,2731.2378422760166,Cardiology
combination,2024-07-01,42,2759.4384950182207,Cardiology
combination,2024-08-01,42,2783.5970932078317,Cardiology
combination,2023-09-01,43,2280.156924826664,Cardiology
combination,2023-10-01,43,2393.8106052963767,Cardiology
combination,2023-11-01,43,2443.9110961290758,Cardiology
combination,2023-12-01,43,2481.695977387805,Cardiology
combination,2024-01-01,43,2529.3968497084015,Cardiology
combination,2024-02-01,43,2519.0704647415955,Cardiology
combination,2024-03-01,43,2559.0966098874296,Cardiology
combination,2024-04-01,43,2662.6683564530204,Cardiology
combination,2024-05-01,43,2675.5651897396374,Cardiology
combination,2024-06-01,43,2712.461451298,Cardiology
combination,2024-07-01,43,2783.089988820494,Cardiology
combination,2024-08-01,43,2729.840057171713,Cardiology
combination,2023-09-01,44,2285.7253063464277,Cardiology
combination,2023-10-01,44,2397.39526158588,Cardiology
combination,2023-11-01,44,2424.0698584724314,Cardiology
combination,2023-12-01,44,2432.783694074542,Cardiology
combination,2024-01-01,44,2449.1917749473737,Cardiology
combination,2024-02-01,44,2458.7760189839537,Cardiology
combination,2024-03-01,44,2575.6354752404736,Cardiology
combination,2024-04-01,44,2611.5707286624893,Cardiology
combination,2024-05-01,44,2593.6017076929684,Cardiology
combination,2024-06-01,44,2688.294878662031,Cardiology
combination,2024-07-01,44,2766.4074020126013,Cardiology
combination,2024-08-01,44,2728.6507780846023,Cardiology
combination,2023-09-01,45,2215.4203889205687,Cardiology
